Date,Gini,HHI,Atkinson,Shannon
2023-05-23,2.43,1.93,2.14,2.25
2023-05-24,2.43,1.57,2.12,2.24
2023-05-25,3.16,2.82,2.28,2.92
2023-05-26,2.44,3.1,2.15,2.25
2023-05-27,2.44,1.94,2.14,2.26
2023-05-28,2.44,3.12,2.14,2.25
2023-05-29,2.46,3.13,2.19,2.24
2023-05-30,2.44,1.91,2.14,2.25
2023-06-01,2.42,1.56,2.11,2.26
2023-06-02,2.43,2.9,2.15,2.24
2023-06-03,2.42,1.53,2.12,2.27
2023-06-04,2.42,1.89,2.12,2.24
2023-06-05,2.44,2.94,2.16,2.26
2023-06-06,2.44,1.94,2.16,2.25
2023-06-07,2.44,1.93,2.15,2.25
2023-06-08,2.44,1.94,2.14,2.28
2023-06-09,2.44,1.92,2.14,2.26
2023-06-10,2.4,1.98,2.12,2.25
2023-06-11,2.41,1.96,2.13,2.24
2023-06-12,2.42,1.97,2.14,2.24
2023-06-13,3.38,2.88,2.68,2.92
2023-06-14,3.4,3.03,2.72,2.93
2023-06-15,2.42,1.58,2.17,2.26
2023-06-16,3.52,1.92,2.94,2.92
2023-06-17,2.39,1.98,2.11,2.26
2023-06-18,2.4,1.98,2.11,2.26
2023-06-19,2.4,1.52,2.09,2.26
2023-06-20,2.4,1.54,2.12,2.23
2023-06-21,3.41,2.96,2.74,2.92
2023-06-22,2.36,1.54,2.06,2.26
2023-06-23,2.38,3.15,1.96,1.93
2023-06-24,2.37,1.36,1.93,1.91
2023-06-25,2.38,1.62,1.96,1.89
2023-06-26,2.96,2.95,1.95,2.47
2023-06-27,2.39,1.58,1.99,1.91
2023-06-28,2.38,1.35,1.96,1.91
2023-06-29,2.38,1.5,2.1,2.23
2023-06-30,2.39,2.84,2.11,2.23
2023-07-01,2.38,2.07,2.08,2.23
2023-07-02,2.36,1.48,2.05,2.24
2023-07-03,2.38,2.11,2.08,2.24
2023-07-04,2.38,2.8,2.09,2.22
2023-07-05,3.24,2.84,2.47,2.92
2023-07-06,1.27,1.53,0.87,1.4
2023-07-07,1.49,1.8,1.07,1.46
2023-07-08,1.24,1.66,0.98,1.37
2023-07-09,1.13,0.94,1.01,1.05
2023-07-10,1.75,0.96,1.52,1.46
2023-07-11,1.58,1.42,1.19,1.37
2023-07-12,0.99,0.59,0.88,0.86
2023-07-13,2.37,2.93,2.07,2.24
2023-07-14,6.95,4.81,4.04,4.85
2023-07-15,3.46,2.84,2.84,2.9
2023-07-16,2.37,2.91,2.06,2.24
2023-07-17,2.38,2.94,2.08,2.24
2023-07-18,2.39,1.48,2.11,2.23
2023-07-19,2.37,1.47,2.08,2.27
2023-07-20,2.37,1.48,2.07,2.27
2023-07-21,3.5,2.39,2.89,3.06
2023-07-22,2.94,2.73,2.07,2.91
2023-07-23,2.99,2.76,2.21,2.91
2023-07-24,3.48,6.05,2.85,3.03
2023-07-25,5.64,5.2,3.21,4.7
2023-07-26,3,3.05,2.08,2.88
2023-07-27,3.25,2.54,2.48,2.89
2023-07-28,5.22,5.59,2.91,4.72
2023-07-29,3.08,2.66,2.23,2.89
2023-07-30,3.39,1.89,2.71,2.93
2023-07-31,2.37,1.49,2.05,2.25
2023-08-01,3.35,3.13,2.6,2.89
2023-08-02,3.5,1.54,2.96,2.9
2023-08-03,3.32,3.12,2.57,2.85
2023-08-04,3.41,6.08,2.7,3.06
2023-08-05,2.35,2.82,2.02,2.23
2023-08-06,2.35,2.82,2.03,2.24
2023-08-07,2.35,1.46,2.03,2.24
2023-08-08,3.44,2.77,2.86,2.9
2023-08-09,2.35,2.84,2.04,2.2
2023-08-10,3.46,2.81,2.92,2.89
2023-08-11,3.4,2.69,2.73,2.97
2023-08-12,3.34,2.07,2.64,2.89
2023-08-13,2.33,1.45,2.01,2.22
2023-08-14,3.18,2.49,2.39,2.88
2023-08-15,3.34,2.62,2.66,3
2023-08-16,2.34,1.47,2.04,2.2
2023-08-17,2.34,1.47,2.04,2.21
2023-08-18,3.44,2.63,2.81,2.98
2023-08-19,3.2,2.68,2.45,2.88
2023-08-20,6.85,4.18,4.06,4.79
2023-08-21,3.43,2.7,2.79,2.97
